"did;query;name;aas_spec;qualifier;category;datatype;unit;metalabel"
"1;Bar code number that identifies the device based on the Global Trade Item Number system;GTIN code;Property;SUP;Constant;STRING;;50"
"2;Alphanumeric character sequence identifying a manufactured, non-configurable product;Article number;Property;SUP;Constant;STRING;;50"
"3;13-digit numeric code, identifying all 'standardized material items of supply' as recognized by the United States Department of Defense;National stock number;Property;SUP;Constant;STRING;;50"
"4;Unique combination of numbers and letters used to identify the device;Code of product;Property;SUP;Constant;STRING;;50"
"5;Unique combination of numbers and letters used to order the device;Order code of product;Property;SUP;Constant;STRING;;50"
"6;Characterization of the device based on its usage, operation principle, and its fabricated form;Type of product;Property;SUP;Constant;STRING;;50"
"7;Short description of the product (short text);Manufacturer product designation;Property;SUP;Constant;STRING;;50"
"8;Name of the supplier or vendor of a device;Supplier;Property;SUP;Constant;STRING;;50"
"9;legally valid designation of the natural or judicial person which is directly responsible for the design, production, packaging and labeling of a product in respect to its being brought into circulation;Manufacturer name;Property;SUP;Constant;STRING;;50"
"10;Alphanumeric character sequence assigned to a fabricated product, which allows the date, time and circumstances of fabrication to be traced ;Fabrication number;Property;SUP;Constant;STRING;;50"
"11;Unique combination of numbers and letters used to identify the device once it has been manufactured;Serial number;Property;SUP;Constant;STRING;;50"
"12;Version of the firmware supplied with the device;Firmware version;Property;SUP;Constant;STRING;;50"
"13;Version of the hardware supplied by the device;Hardware version;Property;SUP;Constant;STRING;;50"
"14;Version of the software used by the device;Software version;Property;SUP;Constant;STRING;;50"
"15;Year as completion date of object;Year of construction;Property;SUP;Constant;STRING;;50"
"16;Unique global identification of the product using an universal resource identifier (URI);URI of product instance;Property;SUP;Constant;STRING;;50"
"17;Fully qualified domain name of the manufacturer of a product using a universal resource identifier (URI);URI of manufacturer;Property;SUP;Constant;STRING;;50"
"18;Highest allowable relative humidity for which the equipment (or any part to which the term refers) is suitable ;Maximum allowable relative humidity;Property;SUP;Constant;REAL_MEASURE;%;45"
"19;Lowest allowable relative humidity for which the equipment (or any part to which the term refers) is suitable ;Minimum allowable relative humidity;Property;SUP;Constant;REAL_MEASURE;%;45"
"20;Highest allowable ambient temperature for which the equipment (or any part to which the term refers) is suitable;Maximum allowable ambient temperature;Property;SUP;Constant;REAL_MEASURE;K;46"
"21;Lowest allowable ambient temperature for which the equipment (or any part to which the term refers) is suitable;Minimum allowable ambient temperature;Property;SUP;Constant;REAL_MEASURE;K;46"
"22;The maximum operating pressure of a component based on the operating temperature;Maximum allowable working pressure;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"23;Rate of flow at the point of best efficiency;Optimum rate of flow;Property;SUP;Constant;REAL_MEASURE;m³/s;39"
"24;Total head developed by the pump at a rate of flow corresponding to the best efficiency;Optimum head;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"25;Maximum permissible head at which the pump can be continuously operated without suffering damage;Maximum allowable head;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"26;Speed corresponding to the rated data of the motor used.;Rated speed;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"27;Highest value of the pump power input at any rate of flow at any allowable operating condition;Maximum pump power input;Property;SUP;Constant;REAL_MEASURE;W;43"
"28;Indication of the rated power consumption in watts;Nominal power consumption;Property;SUP;Constant;REAL_MEASURE;Watt;43"
"29;Rated voltage is the value of the electrical voltage in normal operation specified by the manufacturer or supplier.;Nominal voltage;Property;SUP;Constant;REAL_MEASURE;Volt;38"
"30;Highest value of outlet pressure at which the pump or component is capable of functioning on the basis of the materials used;Maximum allowable outlet pressure;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"31;Lowest value of outlet pressure at which the pump or component is capable of functioning on the basis of the materials used;Minimum allowable outlet pressure;Property;SUP;Constant;REAL_MEASURE;Pascal;44"
"32;Total head developed by the pump in a zero rate of flow;Shut-off head;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"33;Highest speed for continuous operation recommended by the manufacturer;Maximum allowable continuous speed;Property;SUP;Constant;REAL_MEASURE;1/s;40"
"34;Minimum allowable continuous speed;Minimum allowable continuous speed;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"35;Minimum permissible head at which the pump can be operated without suffering damage;Minimum allowable head;Property;SUP;Constant;REAL_MEASURE;Meter;41"
"36;Pump power input at zero rate of flow;Shut-off pump power input;Property;SUP;Constant;REAL_MEASURE;W;43"
"37;Ten times the logarithm to the base 10 of the ratio of the square of the sound pressure, p, to the square of a reference value, p0, expressed in decibels;Sound pressure level;Property;SUP;Constant;REAL_MEASURE;dB;37"
"38;Ten times the logarithm to the base 10 of the ratio of the sound power of a source, P, to a reference value, P0, expressed in decibels;Sound power level;Property;SUP;Constant;REAL_MEASURE;dB;37"
"39;Ten times the logarithm to the base 10 of the ratio of the sound energy, J, to a reference value, J0, expressed in decibels;Sound energy level;Property;SUP;Constant;REAL_MEASURE;dB(A);37"
"40;2nd level of a 3 level manufacturer specific product hierarchy;Manufacturer product familiy;Property;SUP;Constant;STRING;;50"
"41;administrative section within an organisation where a business partner is located;Department;Property;SUP;Constant;STRING;;50"
"42;street name and house number;Street;Property;SUP;Constant;STRING;;50"
"43;ZIP code of address;Zipcode;Property;SUP;Constant;STRING;;50"
"44;P.O box number;Pobox;Property;SUP;Constant;STRING;;50"
"45;ZIP code of P.O. box address;Zip code of po box;Property;SUP;Constant;STRING;;50"
"46;town or city;City town;Property;SUP;Constant;STRING;;50"
"47;federal state a part of a state;State country;Property;SUP;Constant;STRING;;50"
"48;code of a country;National code;Property;SUP;Constant;STRING;;50"
"49;VAT identification number of the business partner;VAT number;Property;SUP;Constant;STRING;;50"
"50;plain text characterizing address information for which there is no property;Adress remarks;Property;SUP;Constant;STRING;;50"
"51;web site address where information about the product or contact is given;Adress of additional link;Property;SUP;Constant;URI;;51"
"52;complete telephone number to be called to reach a business partner;telephone number;Property;SUP;Constant;STRING;;50"
"53;characterization of a telephone according to its location or usage;type of telephone;Property;SUP;Constant;STRING;;50"
"54;complete telephone number to be called to reach a business partner's fax machine;fax number;Property;SUP;Constant;STRING;;50"
"55;characterization of the fax according its location or usage;type of fax number;Property;SUP;Constant;STRING;;50"
"56;electronic mail address of a business partner;email address;Property;SUP;Constant;STRING;;50"
"57;public part of an unsymmetrical key pair to sign or encrypt text or messages;public key;Property;SUP;Constant;STRING;;50"
"58;characterization of an e-mail address according to its location or usage;type of email address;Property;SUP;Constant;STRING;;50"
"59;characterization of a public key according to its encryption process;type of public key;Property;SUP;Constant;STRING;;50"
"60;common name of the marking;marking name;Property;SUP;Constant;STRING;;50"
"61;picture of the marking;marking file;File;SUP;;;;2"
"62;where applicable, additional information on the marking in plain text;marking additional text;Property;SUP;Constant;STRING;;50"
"63;guideline, stipulation or legislation used for determining conformity;guideline for confirmity declaration;Property;SUP;Constant;STRING;;50"
"64;Pump type according to functional principle and pumped fluid;pump type;Property;SUP;Constant;STRING;;50"
"65;Highest allowable continuous temperature for which the equipment (or any part to which the term refers) is suitable when handling the specified operating fluid at the specified operating pressure ;Maximum allowable temperature;Property;SUP;Constant;REAL_MEASURE;°C;46"
"66;Lowest allowable continuous temperature for which the equipment (or any part to which the term refers) is suitable when handling the specified operating fluid at the specified operating pressure;Minimum allowable temperature;Property;SUP;Constant;REAL_MEASURE;K;46"
"67;Direction of rotation in which the shaft is seen to be turning in a clockwise direction when viewing the drive end of the shaft ;Clockwise rotation;Property;SUP;Constant;BOOLEAN;;48"
"68;Direction of rotation in which the shaft is seen to be turning in an anticlockwise direction, when viewing the drive end of the shaft ;Counter-clockwise rotation;Property;SUP;Constant;BOOLEAN;;48"
"69;Speed at which the independent emergency overspeed devices operate to shut down a prime mover;Trip speed;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"70;Speed of rotation at which the frequency of vibration (or its multiples) corresponds to the rotor resonant (lateral or torsional) ;Critical speed;Property;SUP;Constant;REAL_MEASURE;s^(-1);40"
"71;Rotor resonant frequency calculated assuming that the rotor is supported only at its bearings and that the bearings are of infinite stiffness ;Dry critical speed;Property;SUP;Constant;REAL_MEASURE;1/s;40"
