"datatype;datatype_categ"
"BOOLEAN;BOOLEAN"
"STRING;STRING"
"TRANSLATABLE_STRING;STRING"
"NON_TRANSLATABLE_STRING;STRING"
"DATE;DATE"
"DATE_TIME;DATE"
"URI;URI"
"INT;INT"
"INT_MEASURE;INT"
"INT_CURRENCY;INT"
"REAL;REAL"
"REAL_MEASURE;REAL"
"REAL_CURRENCY;REAL"
"ENUM_CODE;ENUM_CODE"
"ENUM_INT;ENUM_CODE"
"ENUM_REAL;ENUM_CODE"
"ENUM_RATIONAL;ENUM_CODE"
"ENUM_BOOLEAN;ENUM_CODE"
"ENUM_STRING;ENUM_CODE"
"ENUM_REFERENCE;ENUM_CODE"
"ENUM_INSTANCE;ENUM_CODE"
"SET(b1,b2);SET"
"CONSTRAINED_SET(b1,b2,cmn,cmx);SET"
"SET [0,?] ;SET"
"SET [1,?];SET"
"NaN;NaN"
"MEDIA_TYPE;LARGE_OBJECT_TYPE"
