"did;query;name;duplicate_ids;aas_spec;qualifier;category;datatype;unit;metalabel"
"18;internationally unique and unambiguous article number for products and services (Global Trade Item Number);GTIN;1;Property;SUP;Constant;STRING;;50"
"19;unique product identifier of the manufacturer;Article number;2;Property;SUP;Constant;STRING;;50"
"20;13-digit numeric code, identifying all the standardized material items of supply as they have been recognized by the United States Department of Defense;National stock number;3;Property;SUP;Constant;STRING;;50"
"21;Characteristic to differentiate between different products of a product family or special variants;Product type;6;Property;SUP;Constant;STRING;;50"
"22;Short description of the product (short text);Product name;7;Property;SUP;Constant;STRING;;50"
"23;name of supplier which provides the customer with a product or a service;Vendor name;8;Property;SUP;Constant;STRING;;50"
"24;legally valid designation of the natural or judicial person which is directly responsible for the design, production, packaging and labeling of a product in respect to its being brought into circulation;Name of manufacturer;9;Property;SUP;Constant;STRING;;50"
"25;alphanumeric character sequence assigned to a fabricated product, which allows the date, time and circumstances of fabrication to be traced;Number of fabrication;10;Property;SUP;Constant;STRING;;50"
"26;unique combination of numbers and letters used to identify the device once it has been manufactured;Serial number;11;Property;SUP;Constant;STRING;;50"
"27;Date from which the production and / or development process is completed or from which a service is provided completely;Fabrication date;15;Property;SUP;Constant;STRING;;50"
"28;unique global identification of the product using an universal resource identifier (URI);URI of product instance;16;Property;SUP;Constant;STRING;;50"
"29;particular product code by which one can order the device;Code for product order;5;Property;SUP;Constant;STRING;;50"
"30;combining numbers and letters to a unique code identifying the item;Product code;4;Property;SUP;Constant;STRING;;50"
"31;a sequence of characters describing the fully qualified domain name of the manufacturer of a product universally;Manufacturer URI;17;Property;SUP;Constant;STRING;;50"
"32;Global Trade Item Number;GTIN Code;1;Property;SUP;Constant;STRING;;50"
"33;GS1 identification key used to identify trade items;Global Trade Item Number;1;Property;SUP;Constant;STRING;;50"
"34;identifier for trade items used to look up product information in a database GS1;GTIN;1;Property;SUP;Constant;STRING;;50"
"35;number that is used for the unique identification of trade items worldwide and which may be 8 12 13 or 14 digits in length;Code of the GTIN;1;Property;SUP;Constant;STRING;;50"
"36;number that is used for the unique identification of trade items worldwide;GTIN Code;1;Property;SUP;Constant;STRING;;50"
"37;GS1 unique identifier of items that are traded in the supply chain;GTIN;1;Property;SUP;Constant;STRING;;50"
"38;The Global Trade Item Number is an identifier for trade items developed by GS1;Global Trade Item Number;1;Property;SUP;Constant;STRING;;50"
"39;The Global Trade Item Number is an international unmistakable number for the identification of products. It is administered and assigned worldwide by GS1;GTIN Code;1;Property;SUP;Constant;STRING;;50"
"40;a system by which a product is identified by a unique machine-readable number compatible with article-numbering systems used in other countries;Article number;2;Property;SUP;Constant;STRING;;50"
"41;a number that uniquely identifies an article master record, and thus an article;item number;2;Property;SUP;Constant;STRING;;50"
"42;sequence of characters to describe a manufactured product unambiguously;Article number;2;Property;SUP;Constant;STRING;;50"
"43;number for the purpose of distinguishing between different products, allocated by the manufacturer;item number;2;Property;SUP;Constant;STRING;;50"
"44;manufactured, non-configuarable products can be recognized by an alphanumeric character sequence awarded by the producer;Article number;2;Property;SUP;Constant;STRING;;50"
"45;manufacturer's unambiguous depiction of a device by a number;item number;2;Property;SUP;Constant;STRING;;50"
"46;codification of standardized material items of supply as recognized by all NATO countries including United States Department of Defense;National stock number;3;Property;SUP;Constant;STRING;;50"
"47;NATO stock number;NSN;3;Property;SUP;Constant;STRING;;50"
"48;code to convey specific information about the item of supply, initiated by a military service, NATO country, federal/civil agency or various Contractor Support Weapons Systems;Nato stock number;3;Property;SUP;Constant;STRING;;50"
"49;official label applied to an item of supply that is repeatedly procured, stocked, stored, issued, and used throughout the NATO supply system;Ntional stock number;3;Property;SUP;Constant;STRING;;50"
"50;unique, item identifying series of numbers used throughout the NATO supply system;NSN;3;Property;SUP;Constant;STRING;;50"
"51;codification of supplies within all NATO countries and United States Department of Defense;Nato stock number;3;Property;SUP;Constant;STRING;;50"
"52;numeric code identifying standardized items throughout the NATO supply system;NSN;3;Property;SUP;Constant;STRING;;50"
"53;formatted sequence of numbers, identifying all items of supply as recognized by NATO countries and federal/civil agencies;National stock number;3;Property;SUP;Constant;STRING;;50"
"54;a 13-digit numeric code, labeling an item of supply in a standard way as the item has been recognized by the NATO countries including agencies like the United States Department of Defense;Nato stock number;3;Property;SUP;Constant;STRING;;50"
"55;unique identifier, assigned to each manufactured product which is ready to be marketed or for sale;Product code;4;Property;SUP;Constant;STRING;;50"
"56;description of a specific product containing numbers and letters;Code of product;4;Property;SUP;Constant;STRING;;50"
"57;unique label containing numbers and letters to identify the device;Universal product code;4;Property;SUP;Constant;STRING;;50"
"58;combining numbers and letters to a unique code identifying the item;Product code;4;Property;SUP;Constant;STRING;;50"
"59;definite allocation of a combination of letters for the identification of the product;Code of product ;4;Property;SUP;Constant;STRING;;50"
"60;this code serves the purpose of the identification of a device, containing numbers and letters;Universal product code;4;Property;SUP;Constant;STRING;;50"
"61;this sequence of numbers and letters is designed for the unambiguous identification of a device;Product code;4;Property;SUP;Constant;STRING;;50"
"62;identifying the device by a unique combination of numbers and letters;Code of product ;4;Property;SUP;Constant;STRING;;50"
"63;assigning a unique combination of numbers and letters to a device for identification;Universal product code;4;Property;SUP;Constant;STRING;;50"
"64;product designation under which the device can be ordered;Order code of product;5;Property;SUP;Constant;STRING;;50"
"65;By the manufacturer assigned combination of numbers and letters to order the device;Code to order device;5;Property;SUP;Constant;STRING;;50"
"66;Code to order the dedicated product;Code for product order;5;Property;SUP;Constant;STRING;;50"
"67;particular product code by which one can order the device;Product order code;5;Property;SUP;Constant;STRING;;50"
"68;combining numbers and letters to a unique code to order the device;Code for device order;5;Property;SUP;Constant;STRING;;50"
"69;assigning a unique combination of numbers and letters to a device for its order;Code to buy product;5;Property;SUP;Constant;STRING;;50"
"70;codification for the purpose of ordering a device;Order code;5;Property;SUP;Constant;STRING;;50"
"71;By the manufacturer awarded string for the identification of additional attributes for order, not by a structured manufacturer item number may be expressed;Order code of product;5;Property;SUP;Constant;STRING;;50"
"72;labeling a product by numbers and letters for its identification within the order;Order code of device;5;Property;SUP;Constant;STRING;;50"
"73;Characteristic to differentiate between different products regarding their usage, function and fabrication;Product type;6;Property;SUP;Constant;STRING;;50"
"74;group of products which fulfill a similar need for a market segment or market as a whole;Type of the product;6;Property;SUP;Constant;STRING;;50"
"75;describing a set of common specific characteristics in products or goods;Device type;6;Property;SUP;Constant;STRING;;50"
"76;the type of product, an item can be assigned to;Item type;6;Property;SUP;Constant;STRING;;50"
"77;groups of products that share the same attributes;Type of product;6;Property;SUP;Constant;STRING;;50"
"78;categorizing a device under a group of products with the same usage, function and fabrication;Product type;6;Property;SUP;Constant;STRING;;50"
"79;classifiying a device depending on its usage, operation and fabrication;Device type;6;Property;SUP;Constant;STRING;;50"
"80;assignment of a device to a group of similar kinds of devices based on their characteristics;Item type;6;Property;SUP;Constant;STRING;;50"
"81;used to describe common characteristics of many concrete products;Type of product;6;Property;SUP;Constant;STRING;;50"
"82;name given to a particular product or complete range of products;Product name;7;Property;SUP;Constant;STRING;;50"
"83;name under which the product is marketed;Device name;7;Property;SUP;Constant;STRING;;50"
"84;name of the product;Name of the product;7;Property;SUP;Constant;STRING;;50"
"85;this feature describes the name by which the device is known;Product name;7;Property;SUP;Constant;STRING;;50"
"86;title under which the product is known;Product title;7;Property;SUP;Constant;STRING;;50"
"87;product naming;Title of product;7;Property;SUP;Constant;STRING;;50"
"88;terming a product for the market;Name of the product;7;Property;SUP;Constant;STRING;;50"
"89;marking a product with a name;Product title;7;Property;SUP;Constant;STRING;;50"
"90;description of a product or range of products with a name;Product name;7;Property;SUP;Constant;STRING;;50"
"91;name of supplier which provides the customer with a product or a service;Supplier name;8;Property;SUP;Constant;STRING;;50"
"92;a company, person, etc. that provides things that people want or need, especially over a long period of time;Name of supplier;8;Property;SUP;Constant;STRING;;50"
"93; a person, company, or organization that sells or supplies something such as goods or equipment to customers;Distributor;8;Property;SUP;Constant;STRING;;50"
"94;name of the party that supplies or sells goods or services;Provider;8;Property;SUP;Constant;STRING;;50"
"95;name of the responsible person or company to supply a device;Vendor;8;Property;SUP;Constant;STRING;;50"
"96;enterprise that contributes goods or services;Distributor name;8;Property;SUP;Constant;STRING;;50"
"97; supply chain vendor;Name of the provider;8;Property;SUP;Constant;STRING;;50"
"98;person or company that manufactures inventory or stocks items and sells them to the next link in the chain;Vendor name;8;Property;SUP;Constant;STRING;;50"
"99;company responsible for the supply or selling of a device;Name of the supplier;8;Property;SUP;Constant;STRING;;50"
"100;The organization that manufactured and or assembled the item;Name of the manufactuer;9;Property;SUP;Constant;STRING;;50"
"101;legally valid designation of the natural or judicial person which is directly responsible for the design production packaging and labeling of a product in respect to its being brought into circulation;Manufacturer Name;9;Property;SUP;Constant;STRING;;50"
"102;organization which purchases raw material and converts the material into a finished mechanical fastener;Producer;9;Property;SUP;Constant;STRING;;50"
"103;person or organization responsible for heat treatment of products or components;Fabricator;9;Property;SUP;Constant;STRING;;50"
"104;natural or legal person with responsibility for the design manufacture packaging and labelling of a device before it is placed on the market under his own name regardless of whether these operations are carried out by that person himself or on his behalf by a third party;Producer name;9;Property;SUP;Constant;STRING;;50"
"105;party who produces a component a sub-assembly or an assembly;Manufacturer name;9;Property;SUP;Constant;STRING;;50"
"106;company responsible for the manufacture of coating material;Producer name;9;Property;SUP;Constant;STRING;;50"
"107;company or organization that transforms raw material into a product;Fabricator name;9;Property;SUP;Constant;STRING;;50"
"108;organization responsible for the manufacture of coating material;Name of the fabricator;9;Property;SUP;Constant;STRING;;50"
"109;number of a product's fabrication;Number of fabrication;10;Property;SUP;Constant;STRING;;50"
"110;description of the time, place and conditions of the item's fabrication by an alphanumeric character set;Production number;10;Property;SUP;Constant;STRING;;50"
"111;characterizing an item regarding its fabrication;Production number;10;Property;SUP;Constant;STRING;;50"
"112;numbers and letters used to describe circumstances and facts about the manufacture of a device;manufacturing number;10;Property;SUP;Constant;STRING;;50"
"113;providing information about the manufacture of a product like date and other circumstances;manufacturing number;10;Property;SUP;Constant;STRING;;50"
"114;alphanumeric depiction of the manufacturing process of a product regarding ist date, time and conditions of fabrication ;number of production;10;Property;SUP;Constant;STRING;;50"
"115;in order to being able to trace the fabrication of an item, an alphanumeric sequence is mapped to the device;number of fabrication;10;Property;SUP;Constant;STRING;;50"
"116;the attribution of numbers and letters to a device that allows tracing the date, time and circumstances of fabrication;number of production;10;Property;SUP;Constant;STRING;;50"
"117;date, time, conditions etc. of a product's fabrication coded in an alphanumeric character sequence;fabrication number;10;Property;SUP;Constant;STRING;;50"
"118;The serial number assigned to an occurrence of a product;Serial number;11;Property;SUP;Constant;STRING;;50"
"119;alphanumeric string defined by the OEM identifying a specific piece of equipment;Producer serial number;11;Property;SUP;Constant;STRING;;50"
"120;unique combination of letters and or numbers selected by the manufacturer intended to distinguish a device from other devices with the same model designation;Serial number;11;Property;SUP;Constant;STRING;;50"
"121;alphanumeric identifier unique to a terminal (or group of terminals) determined by the manufacturer;Manufacturer serial number;11;Property;SUP;Constant;STRING;;50"
"122;A serial number is a unique identifier assigned incrementally or sequentially to an item to uniquely identify it;Serial number;11;Property;SUP;Constant;STRING;;50"
"123;a unique number assigned to a particular unit of some product to identify it;Producer serial number;11;Property;SUP;Constant;STRING;;50"
"124;A serial number is a unique code assigned for identification of a single unit;Serial number;11;Property;SUP;Constant;STRING;;50"
"125;serial number of a product;Manufacturer serial number;11;Property;SUP;Constant;STRING;;50"
"126;A number that is one of a series and is used for identification as of a machine weapon or motor vehicle;Serial number;11;Property;SUP;Constant;STRING;;50"
"127;a specific class of computer software that provides the low-level control for a device's specific hardware;Version of the Firmware;12;Property;SUP;Constant;STRING;;50"
