Unit,unit_categ
nan,NaN
Hertz,FREQUENCY
Hz,FREQUENCY
Pa,PRESSURE
Pascal,PRESSURE
N/m²,PRESSURE
bar,PRESSURE
%,SCALARS_PERC
W,POWER
Watt,POWER
kW,POWER
kg/m³,CHEMISTRY
m²/s,CHEMISTRY
Pa*s,CHEMISTRY
V,ELECTRICAL
Volt,ELECTRICAL
dB,ACOUSTICS
dB(A),ACOUSTICS
K,TEMPERATURE
°C,TEMPERATURE
N,MECHANICS
Newton,MECHANICS
kg/s,FLOW
kg/h,FLOW
m³/s,FLOW
m³/h,FLOW
l/s,FLOW
l/h,FLOW
µm,LENGTH
mm,LENGTH
cm,LENGTH
dm,LENGTH
m,LENGTH
Meter,LENGTH
m/s,SPEED
km/h,SPEED
s^(-1),FREQUENCY
1/s,FREQUENCY
s,TIME
h,TIME
min,TIME
d,TIME
hours,TIME
A,ELECTRICAL
m³,VOLUME
m²,AREA
rpm,FLOW
Nm,MECHANICS
m/m,MECHANICS
m³/m²s,MECHANICS
W(m²*K),HEAT_TRANSFER
kWh,ELECTRICAL
kg/(s*m²),FLOW
kg,MASS
W/(m*K),HEAT_TRANSFER
m²*K/W,HEAT_TRANSFER
J/s,POWER
